! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  1.000
!    DOWNWELLING FLUX:   Z=  0.000
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   1.100   0.900    0.40452E-01   0.38470E+00   0.44822E+00
   1.100   1.000    0.41097E-01   0.39039E+00   0.43377E+00
   1.100   1.100    0.40452E-01   0.38470E+00   0.44822E+00
   1.100   1.200    0.38609E-01   0.36730E+00   0.49077E+00
   1.100   1.300    0.35820E-01   0.33775E+00   0.55838E+00
   1.100   1.400    0.32447E-01   0.29702E+00   0.64378E+00
   1.100   1.500    0.28894E-01   0.24878E+00   0.73546E+00
   1.100   1.600    0.25537E-01   0.19907E+00   0.82045E+00
   1.100   1.700    0.22676E-01   0.15441E+00   0.88900E+00
   1.100   1.800    0.20511E-01   0.11965E+00   0.93748E+00
   1.100   1.900    0.19142E-01   0.97225E-01   0.96782E+00
   1.200   0.000    0.18149E-01   0.94512E-01   0.98109E+00
   1.200   0.100    0.18645E-01   0.10516E+00   0.96002E+00
   1.200   0.200    0.19881E-01   0.12960E+00   0.92264E+00
   1.200   0.300    0.21840E-01   0.16707E+00   0.86354E+00
   1.200   0.400    0.24433E-01   0.21440E+00   0.78131E+00
   1.200   0.500    0.27479E-01   0.26578E+00   0.68169E+00
   1.200   0.600    0.30708E-01   0.31399E+00   0.57742E+00
   1.200   0.700    0.33777E-01   0.35306E+00   0.48348E+00
   1.200   0.800    0.36317E-01   0.38018E+00   0.41163E+00
   1.200   0.900    0.37996E-01   0.39554E+00   0.36762E+00
   1.200   1.000    0.38584E-01   0.40044E+00   0.35288E+00
   1.200   1.100    0.37996E-01   0.39554E+00   0.36762E+00
   1.200   1.200    0.36317E-01   0.38018E+00   0.41163E+00
   1.200   1.300    0.33777E-01   0.35306E+00   0.48348E+00
   1.200   1.400    0.30708E-01   0.31399E+00   0.57742E+00
   1.200   1.500    0.27479E-01   0.26578E+00   0.68169E+00
   1.200   1.600    0.24433E-01   0.21440E+00   0.78131E+00
   1.200   1.700    0.21840E-01   0.16707E+00   0.86354E+00
   1.200   1.800    0.19881E-01   0.12960E+00   0.92264E+00
   1.200   1.900    0.18645E-01   0.10516E+00   0.96002E+00
   1.300   0.000    0.17736E-01   0.99647E-01   0.97791E+00
   1.300   0.100    0.18172E-01   0.11084E+00   0.95336E+00
   1.300   0.200    0.19246E-01   0.13625E+00   0.91003E+00
   1.300   0.300    0.20950E-01   0.17486E+00   0.84218E+00
   1.300   0.400    0.23212E-01   0.22294E+00   0.74906E+00
   1.300   0.500    0.25877E-01   0.27404E+00   0.63850E+00
   1.300   0.600    0.28705E-01   0.32062E+00   0.52572E+00
   1.300   0.700    0.31398E-01   0.35703E+00   0.42704E+00
   1.300   0.800    0.33629E-01   0.38131E+00   0.35374E+00
   1.300   0.900    0.35106E-01   0.39456E+00   0.30984E+00
   1.300   1.000    0.35623E-01   0.39869E+00   0.29537E+00
   1.300   1.100    0.35106E-01   0.39456E+00   0.30984E+00
   1.300   1.200    0.33629E-01   0.38131E+00   0.35374E+00
   1.300   1.300    0.31398E-01   0.35703E+00   0.42704E+00
   1.300   1.400    0.28705E-01   0.32062E+00   0.52572E+00
   1.300   1.500    0.25877E-01   0.27404E+00   0.63850E+00
   1.300   1.600    0.23212E-01   0.22294E+00   0.74906E+00
   1.300   1.700    0.20950E-01   0.17486E+00   0.84218E+00
   1.300   1.800    0.19246E-01   0.13625E+00   0.91003E+00
   1.300   1.900    0.18172E-01   0.11084E+00   0.95336E+00
   1.400   0.000    0.17403E-01   0.10240E+00   0.97575E+00
   1.400   0.100    0.17777E-01   0.11365E+00   0.94885E+00
   1.400   0.200    0.18681E-01   0.13893E+00   0.90156E+00
   1.400   0.300    0.20117E-01   0.17714E+00   0.82795E+00
   1.400   0.400    0.22026E-01   0.22427E+00   0.72789E+00
   1.400   0.500    0.24278E-01   0.27365E+00   0.61072E+00
   1.400   0.600    0.26674E-01   0.31780E+00   0.49320E+00
   1.400   0.700    0.28959E-01   0.35146E+00   0.39248E+00
   1.400   0.800    0.30855E-01   0.37328E+00   0.31909E+00
   1.400   0.900    0.32110E-01   0.38486E+00   0.27586E+00
   1.400   1.000    0.32550E-01   0.38841E+00   0.26172E+00
   1.400   1.100    0.32110E-01   0.38486E+00   0.27586E+00
   1.400   1.200    0.30855E-01   0.37328E+00   0.31909E+00
   1.400   1.300    0.28959E-01   0.35146E+00   0.39248E+00
   1.400   1.400    0.26674E-01   0.31780E+00   0.49320E+00
   1.400   1.500    0.24278E-01   0.27365E+00   0.61072E+00
   1.400   1.600    0.22026E-01   0.22427E+00   0.72789E+00
   1.400   1.700    0.20117E-01   0.17714E+00   0.82795E+00
   1.400   1.800    0.18681E-01   0.13893E+00   0.90156E+00
   1.400   1.900    0.17777E-01   0.11365E+00   0.94885E+00
   1.500   0.000    0.17180E-01   0.10251E+00   0.97498E+00
   1.500   0.100    0.17496E-01   0.11333E+00   0.94726E+00
   1.500   0.200    0.18242E-01   0.13751E+00   0.89857E+00
   1.500   0.300    0.19426E-01   0.17398E+00   0.82295E+00
   1.500   0.400    0.21000E-01   0.21881E+00   0.72052E+00
   1.500   0.500    0.22855E-01   0.26554E+00   0.60114E+00
