! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.330   0.000   0.250    0.17847E-01   0.43835E+00   0.30657E-03
   0.330   0.000   0.300    0.17998E-01   0.44027E+00   0.83336E-03
   0.330   0.000   0.350    0.18140E-01   0.44012E+00   0.98897E-02
   0.330   0.000   0.400    0.18311E-01   0.44610E+00   0.42884E-02
   0.330   0.000   0.425    0.18395E-01   0.44964E+00   0.39337E-02
   0.330   0.000   0.450    0.18521E-01   0.45303E+00   0.99289E-02
   0.330   0.000   0.475    0.18783E-01   0.45442E+00   0.20578E-01
   0.330   0.000   0.500    0.19267E-01   0.45819E+00   0.14121E-01
   0.330   0.000   0.525    0.19967E-01   0.45876E+00   0.98412E-02
   0.330   0.000   0.550    0.21086E-01   0.44813E+00   0.59012E-02
   0.330   0.000   0.575    0.22888E-01   0.43667E+00   0.75301E-02
   0.330   0.000   0.600    0.27147E-01   0.43157E+00   0.13688E-01
   0.330   0.000   0.625    0.51773E-01   0.42398E+00   0.22235E-01
   0.330   0.000   0.650    0.96084E-01   0.40094E+00   0.49984E-01
   0.330   0.000   0.675    0.15731E+00   0.33006E+00   0.28333E+00
   0.330   0.000   0.700    0.20041E+00   0.14493E+00   0.93830E+00
   0.330   0.000   0.725    0.22874E+00   0.63046E-01   0.10000E+01
   0.330   0.000   0.750    0.26100E+00   0.10501E-01   0.10000E+01
   0.330   0.000   0.775    0.28827E+00   0.17788E-04   0.10000E+01
   0.330   0.000   0.800    0.30904E+00   0.61837E-08   0.10000E+01
   0.330   0.000   0.825    0.31959E+00   0.00000E+00   0.10000E+01
